Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Ingredient 10,Ingredient 11,Ingredient 12,Ingredient 13,Ingredient 14,Ingredient 15,Ingredient 16,Ingredient 17,Ingredient 18,Ingredient 19,Ingredient 20,Ingredient 21,Ingredient 22,Ingredient 23,Ingredient 24,Ingredient 25,Ingredient 26,Ingredient 27,Ingredient 28,Ingredient 29,Ingredient 30,Ingredient 31,Ingredient 32,Ingredient 33,Ingredient 34,Ingredient 35,Ingredient 36,Ingredient 37,Ingredient 38,Ingredient 39,Ingredient 40,Ingredient 41,Ingredient 42,Ingredient 43,Ingredient 44,Ingredient 45,Ingredient 46,Ingredient 47,Ingredient 48,Ingredient 49,Ingredient 50,Ingredient 51,Ingredient 52,Ingredient 53,Ingredient 54,Ingredient 55,Ingredient 56,,,,,
3,Shampoo Natura lumina,,Cuidado Personal;Cuidado del Cabello;Shampoo,,29,agua,laureth sulfato de sodio,Cocamidopropyl betaine,Phenoxyethanol,parfum,lauramine oxide,sodium chloride,pentylene glycol,glycerin,polyquaternium-6,sodium hydroxide,tetrasodium EDTA,polyquaternium-22,PEG-4 dilaurate,triticum vulgare (wheat) bran extract,PEG-200,iodopropynyl butylcarbamate,"1,2-hexanediol",caprylyl glycol,citric acid,astrocaryum murumuru seed butter,bertholletia excelsa seed oil,triethanolamine,sr-spider polypeptide-1,tocopherol,linalool,butylphenyl methylpropional,citronellol,limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8429449015857,Dr. Tree Chmpú Sólido 2 en 1 Fortaleza,75 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"Hecho a Mano, con ingredientes de origen natural",25,sodium coco-sulfate,Cetearyl Alcohol,Glycerin,CAPRYLIC/CAPRIC TRIGLYCERIDE,glyceryl stearate,theobroma cacao seed butter,Citric Acid,limonene,oryza sativa bran oil,limnanthes alba seed oil,Parfum,citrus aurantium peel oil expressed,cinnamomum zeylanicum leaf oil,olus oil,lecithin,aqua,sodium cetearyl sulfate,sodium benzoate,potassium sorbate,CI 77499,CI 77491,Eugenol,Benzyl Benzoate,Linalool,Cinnamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293030807,Sedal Shampoo crema balance,,Cuidado Personal;Cuidado del Cabello;Shampoo,,30,AQUA,SODIUM LAURETH SULFATE,Cocamidopropyl betaine,SODIUM CHLORIDE,GLYCOLDISTEARATE,PARFUM,CARBOMER,COCAMIDE MEA,DISODIUM EDTA,GLYCERIN,HYDROXYPROPYL METHYLCELLULOSE,GUAR HYDROXYPROPYL TRIMONIUM CHLORIDE,MICA,DMDM HYDANTOIN,PEG-45M,TITANIUM DIOXIDE,ETHYLHEXYL METHOXYCINNAMATE,DIMETHICONOL,,PRUNUS AMYGDALUS DULCIS OIL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,CI 15985,CI 19140,BENZYL SALICYLATE,CITRONELLOL,GERANIOL,HEXYL CINNAMAL,LINALOOL,CITRIC ACID,SODIUM HYDROXIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7792640004601,Shampoo Capilatis Con Palo amargo Lí­nea Piojos,,Cuidado Personal;Cuidado del Cabello;Shampoo,No irritante. No testeado en animales,13,Aqua,SODIUM LAURETH SULFATE,TEA,Lauryl sulfate,Cocamidopropyl Betaine,Cocamide DEA,Cuassia Amara Wood Extract,Glycol Distearate,Amyl Cinnamal,Methylparaben,EDTA,Propylparaben,Citric Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Shampoo Tí­o Nacho Herbolaria Milenaria Fortalecimiento capilar,415 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,Ingredientes naturales,32,Aqua,SODIUM LAURETH SULFATE,Cocamidopropyl betaine,Cocamide DEA,Polyquaternium 7,Sodium Chloride,PARFUM,Propylene Glycol,Diazolidinyl urea,Glycol diestearate,Citric Acid,capsicum annuum extract,methylparaben,Laureth-4,Glycerin,Caramel,Urtica dioica extract,Licania arborea extract,Arctium lappa extract,simmondsia chinensis extract,Chamomilla recutita extract,Panax ginseng extract,Propylparaben,tetrasodium edta,Ocimum basilicum extract,PEG-45M,Agave americana extract,royal jelly extract,chamomilla recutita flower powder,CI 19140,Hexyl Cinnamal,Limonene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798036820831,Shampoo Weleda Fitoshampoo iluminador Manzanilla,,Cuidado Personal;Cuidado del Cabello;Shampoo,"Producto sustentable Ingredientes 100% naturales Sin sulfatos, sin siliconas, sin parabenos, sin PEG, biodegradable, no testeado en animales, apto para veganos",25,Aqua,lauryl glucoside,Coco-Glucoside,Decyl Glucoside,Glyceryl Oleate,Glycerin,Simmondsia chinensis oil,Matricaria Chammomilla extract,Xanthan Gum,Sodium benzoate,Potassium sorbate,Sodium lauroyl lactylate,Caprylyl/Capryl wheat bran/Straw glycosides,Fusel wheat bran/Straw Glycosides,Polyglyceryl - 5 oleate,Sodium cocoyl glutamate,Glyceryl caprylate,Parfum,Limonene,Linalool,PCA - Glyceryl oleate,L - Arginine,Dycaprylyl Ether,Lauryl Alcohol,Citric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500435116718,ACONDICIONADOR PANTENE 3MIN FUERZA RECONSTRUCCION,170ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,AQUA,GLYCERIN,STEARYL ALCOHOL,BIS-AMINOPROPYL DIMETHICONE,BEHENTRIMONIUM METHOSULFATE,CETYL ALCOHOL,PARFUM,DICETYLDIMONIUM CHLORIDE,BENZYL ALCOHOL,DISODIUM EDTA,HISTIDINE,PANTHENOL,PANTHENYL ETHYL ETHER,CITRIC ACID,HEXYL CINNAMAL,HYDROXYCITRONELLAL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7891010244507,Johnsons Baby Shampoo Fuerza Y Vitamina,400ml,Cuidado del Bebé;Para el Baño,,21,Aqua,Coco-Glucoside,Cocamidopropyl Betaine,Sodium Coco-Sulfate,PEG-150 Distearate,Phenoxyethanol,Glycol Distearate,Sodium Benzoate,Parfum,Glyceryl Oleate,Citric Acid,Propylene Glycol,Hydroxypropyl Guar Hydroxypropyltrimonium Chloride,Tocopheryl Acetate,Tetrasodium Glutamate Diacetate,Polyquaternium-7,Sodium Chloride,Ethylhexylglycerin,Triticum Vulgare Bran Extract,Caprylyl Glycol,"1,2-Hexanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500435012201,PANTENE MAXPROV SHAMPOO CONTROL CAIDA,400ml x 12lt,Cuidado Personal;Cuidado del Cabello;Shampoo,Contiene microplásticos,22,AQUA,SODIUM LAURYL SULFATE,SODIUM LAURETH SULFATE,COCAMIDOPROPYL BETAINE,GLYCOL DISTEARATE,DIMETHICONE,SODIUM CITRATE,COCAMIDE MEA,PARFUM,SODIUM XYLENESULFONATE,CITRIC ACID,POLYQUATERNIUM-6,SODIUM BENZOATE,SODIUM CHLORIDE,TETRASODIUM EDTA,TRISODIUM ETHYLENEDIAMINE DISUCCINATE,HEXYL CINNAMAL,PANTHENOL,PANTHENYL ETHYL ETHER,HYDROXYCITRONELLAL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293033969,Acondicionador Tresemmé Blindaje Platinum,400ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,23,Aqua,Cetearyl Alcohol,Cyclopentasiloxane,Stearamidopropyl Dimethylamine,Dimethiconol,Behentrimonium Chloride,Parfum,Disodium EDTA,DMDM Hydantoin,Hydrolyzed Keratin,C10-40 Isoalkylamidopropylethyldimonium Ethosulfate,Dipropylene Glycol,Paraffinum Liquidum,Methylchloroisothiazolinone,Methylisothiazolinone,Benzyl Alcohol,Benzyl Salicylate,Citronellol,Geraniol,Hexyl Cinnamal,Linalool,Lactic Acid,Sodium Chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500435013796,PANTENE Acondicionador Pro-V Hidratacion Extrema,400ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,AQUA,GLYCERIN,STEARYL ALCOHOL,BEHENTRIMONIUM METHOSULFATE,BIS-AMINOPROPYL DIMETHICONE,CETYL ALCOHOL,Parfum,DICETYLDIMONIUM CHLORIDE,BENZYL ALCOHOL,DISODIUM EDTA,HISTIDINE,PANTHENOL,PANTHENYL ETHYL ETHER,CITRIC ACID,HEXYL CINNAMAL,HYDROXYCITRONELLAL,METHYLCHLOROISOTHIAZOLINONE,METHYLISOTHIAZOLINONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790010602013,Johnson's Baby Acondicionador Gotas de Brillo,,Cuidado del Bebé;Para el Baño,Hypoallergenic No addition of phthalates and formaldehyde donor preservatives,15,Aqua,Alcohol,Cetrimonium Chloride,Glycerin,Hydroxyethylcellulose,Cetyl Palmitate,Coco-Glucoside,Glyceryl Oleate,Dicaprylyl Carbonate,Citric Acid,Parfum,Polyquaternium-39,Behentrimonium Chloride,Silk Amino Acids,Argania Spinosa Kernel Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75027513,Desodorante para Mujer Dove,50 gr,Cuidado Personal;Cuidado Corporal;Desodorante de Mujer,Contiene microplásticos,24,CYCLOMETHICONE,ALUMINUM ZIRCONIUM,TETRACHLOROHYDREX GLY,STEARYL ALCOHOL,C12-15 ALKYL BENZOATE,PPG-14 BUTYL ETHER,HYDROGENATED CASTOR OIL,PEG-8,PARFUM,DIMETHICONE,POLYETHYLENE,SILICA,HELIANTHUS ANNUUS SEED OIL,STEARETH-100,BHT,ALPHA-ISOMETHYL IONONE,BENZYL BENZOATE,BENZYL SALICYLATE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,GERANIOL,HEXYL CINNAMAL,HYDROXYCITRONELLAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293037660,Lux Jabón Lí­quido Rosas Francesas,220 ml,Cuidado Personal;Cuidado Corporal;Jabones,Sin parabenos,31,AQUA,SODIUM LAURETH SULFATE,SODIUM CHLORIDE,COCAMIDE MEA,PARFUM,ACRYLATES COPOLYMER,GLYCERIN,GLYCOL DISTEARATE,BENZOPHENONE-4,DMDM HYDANTOIN,TETRASODIUM EDTA,BHT,CITRIC ACID,SODIUM HYDROXIDE,PPG-9,ROSA GALLICA FLOWER EXTRACT,JASMINUM OFFICINALE FLOWER EXTRACT,PRUNUS AMYGDALUS DULCIS OIL,NELUMBIUM SPECIOSUM FLOWER OIL,METHYLCHLOROISOTHIAZOLINONE,HYDROLYZED SILK,MENTHA ARVENSIS LEAF OIL,CYMBOPOGON MARTINI OIL,METHYLISOTHIAZOLINONE,CI 17200,ALPHA-ISOMETHYL IONONE,BENZYL SALICYLATE,BUTYLPHENYL METHYLPROPIONAL,GERANIOL,HEXYL CINNAMAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7791293037684,Lux Jabón Lí­quido Orquí­dea Negra,220 ml,Cuidado Personal;Cuidado Corporal;Jabones,Sin parabenos,29,AQUA,SODIUM LAURETH SULFATE,SODIUM CHLORIDE,COCAMIDE MEA,PARFUM,GLYCERIN,BENZOPHENONE-4,DMDM HYDANTOIN,TETRASODIUM EDTA,BHT,SODIUM HYDROXIDE,PPG-9,ROSA GALLICA FLOWER EXTRACT,JASMINUM OFFICINALE FLOWER EXTRACT,PRUNUS AMYGDALUS DULCIS OIL,NELUMBIUM SPECIOSUM FLOWER OIL,CI 17200,METHYLCHLOROISOTHIAZOLINONE,HYDROLYZED SILK,MENTHA ARVENSIS LEAF OIL,CYMBOPOGON MARTINI OIL,CI 42090,METHYLISOTHIAZOLINONE,BUTYLPHENYL METHYLPROPIONAL,CITRONELLOL,COUMARIN,GERANIOL,HEXYL CINNAMAL,LINALOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750043501232,ACOND PANTENE HIDRATACION MAX,200 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,14,Aqua,stearyl alcohol,behentrimonium chloride,cetyl alcohol,bis-aminopropyl dimethicone,parfum,benzyl alcohol,disodium edta,panthenol,panthenyl ethyl ether,hexyl cinnamal,hydroxycitronellal,methylchloroisothiazolinone,methylisothiazolinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
