codigo,descripcion,presentacion,rubro_id,observaciones,numero_ingredientes,x0,x1,x2,x3,x4
3,Shampoo Natura lumina,,Cuidado Personal;Cuidado del Cabello;Shampoo,,29,,,,,
8429449015857,Dr. Tree Chmpú Sólido 2 en 1 Fortaleza,75 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,"Hecho a Mano, con ingredientes de origen natural",25,,,,,
7791293030807,Sedal Shampoo crema balance,,Cuidado Personal;Cuidado del Cabello;Shampoo,,30,,,,,
7792640004601,Shampoo Capilatis Con Palo amargo Lí­nea Piojos,,Cuidado Personal;Cuidado del Cabello;Shampoo,No irritante. No testeado en animales,13,,,,,
6,Shampoo Tí­o Nacho Herbolaria Milenaria Fortalecimiento capilar,415 ml,Cuidado Personal;Cuidado del Cabello;Shampoo,Ingredientes naturales,32,,,,,
7798036820831,Shampoo Weleda Fitoshampoo iluminador Manzanilla,,Cuidado Personal;Cuidado del Cabello;Shampoo,"Producto sustentable Ingredientes 100% naturales Sin sulfatos, sin siliconas, sin parabenos, sin PEG, biodegradable, no testeado en animales, apto para veganos",25,,,,,
7500435116718,ACONDICIONADOR PANTENE 3MIN FUERZA RECONSTRUCCION,170ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,,,,,
7891010244507,Johnsons Baby Shampoo Fuerza Y Vitamina,400ml,Cuidado del Bebé;Para el Baño,,21,,,,,
7500435012201,PANTENE MAXPROV SHAMPOO CONTROL CAIDA,400ml x 12lt,Cuidado Personal;Cuidado del Cabello;Shampoo,Contiene microplásticos,22,,,,,
7791293033969,Acondicionador Tresemmé Blindaje Platinum,400ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,23,,,,,
7500435013796,PANTENE Acondicionador Pro-V Hidratacion Extrema,400ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,18,,,,,
7790010602013,Johnson's Baby Acondicionador Gotas de Brillo,,Cuidado del Bebé;Para el Baño,Hypoallergenic No addition of phthalates and formaldehyde donor preservatives,15,,,,,
75027513,Desodorante para Mujer Dove,50 gr,Cuidado Personal;Cuidado Corporal;Desodorante de Mujer,Contiene microplásticos,24,,,,,
7791293037660,Lux Jabón Lí­quido Rosas Francesas,220 ml,Cuidado Personal;Cuidado Corporal;Jabones,Sin parabenos,31,,,,,
7791293037684,Lux Jabón Lí­quido Orquí­dea Negra,220 ml,Cuidado Personal;Cuidado Corporal;Jabones,Sin parabenos,29,,,,,
750043501232,ACOND PANTENE HIDRATACION MAX,200 ml,Cuidado Personal;Cuidado del Cabello;Acondicionador,,14,,,,,
